IDПользователя;?id чека;Цена
0c13fb6639d428524e4f8570057b4180;2563f85ebab0fbe0116269901523a321;849.0
0c4eb5062d57c47f2ecbec9495a34b1f;01ca59f45f0a6ddec9a67bcd5b4b8131;295.89
0cb5f9223e89aeb36220a19447f53024;446ed3bac3f02d6781ce4d8becf6a8e9;137.99
0ce30bd8b9dec76b37f7db4c2535f3e3;1649678917e39ae02ab379c460c93558;89.1
0d3adc67b226b49e95e17c9384df166a;1be27b82586aec9d2aa247c32ccbcd4c;729.0
0d6fd7b6118bee4b8de933eccd06c0d8;4f5d11e2ddc0d28c046a7d0dc003dba1;1160.0
0d7b9162f21c97324ac8f500020d95f7;2fca81c24b15ba02715e0abb7f77826a;1043.0
0e56265de261f254a14893fcf05e194b;2d44882c3508e4fcc57d0721111f03ff;1266.0
0e56265de261f254a14893fcf05e194b;2d44882c3508e4fcc57d0721111f03ff;1266.0
0eb80064291a67c75d83f9dffe8b1487;1a00315decdde544d40f2b873b3605e3;47.1
0eb80064291a67c75d83f9dffe8b1487;2894466f7dfd2c7f216c770d1b158edd;149.0
0eb80064291a67c75d83f9dffe8b1487;2ad3a1f9809ec17abd6fd4cfa0114ef3;693.0
0eb80064291a67c75d83f9dffe8b1487;3eacc60bb5a78cbe87b81ce03f7f9f57;40.0
0f57dd2a94a45e05b4c1312b38a929c9;05b454f9f09c811987aa490592629afd;254.0
0fc9b39097bbcc7fd9dc90293001ee13;1c0d661efc882adeab3e761e4da5bed7;979.0
10a3d71badfa0937f43794148dfb3a56;380f8426d4214a925256f203a50a4f8f;1406.0
10decaa0e4d1c15a16fc8da045304dfd;2e91da3a9e4f0abb2c61e3582a420ac6;109.0
11482f10d1fdad02c851b415a2a07de2;0330b64ea7daba2131700b85a51f0c13;53.99
11931f90cfc5bedcccf35f116acd520e;4e64ed83df80e92c95e43807e61468a7;849.0
11a37cb8e4064146a9d787c98fe28727;02a443aa26202f0c9e3d99fd1ff99000;33.69
120a6590a019863b4a9ae82cd16dcbeb;1752623207b9e2f4b97633e4a9d7f16c;175.0
1243c980ef5d5e329696feb48266bf3e;06181bc990a04e2057de54173d97b528;2190.0
1281e041adc48ee75b94caa23d452868;1c67745142bb0808d49b674d3f928440;999.9
12a3e04573780bf8bb6eeb935cf80e8b;02ec06f9264a31dd22301a261fb603d3;1899.0
12cd433eb52af2fdc18c17b159aec06b;04c45b8536933bf192ba60752bbdf892;28.87
12d192dab52e6eedb17b27c47e879221;3894ff9dc1bd910203d563102849c3a8;2990.0
12d192dab52e6eedb17b27c47e879221;3894ff9dc1bd910203d563102849c3a8;3190.0
1320ef01ec771d0b598cee4866d970d8;4ab741b3b65d780004733b506c031c36;0.01
13231cc7421cfd391ba046b73790a34c;3560ebd9d7ae0066251423592f1f4c60;10700.0
13889358a6504d95a13a7fba8e8f9b8e;2955855631fe3e2454ad7e64375272c7;55.0
139ce3dd3c37b88026e88a42aa4c7758;46272761f7e70486a3c200530df841fa;33.0
139d1f515e195c44411579ced45f0061;12eb78c2d5cb6c830ac75b86e4f22bae;43.0
139f5c131626df1536a175b9decdc68d;34e3d171d5ee16cd760a272764ddb49b;693.0
13c6f8f6ceac43a1d5ca2c25fab7d192;48d7e95e3e644c171e3071a37895d27f;995.0
1405c195939ad8de5d655e31930b4af3;152cc4f4daf11b43b9a3a973ef2bbbb7;59.9
1458b04ada00045a676a9e65f3b24c69;4606c8aa463ed47022621b0c06ac7836;424.5
1458b04ada00045a676a9e65f3b24c69;4606c8aa463ed47022621b0c06ac7836;1592.0
14b875cd072afd615295f99a99a17643;0f3481f9e0b4a59108e20fa919c716bf;1199.0
14f31a112c029b5b3e3b562e1061d4b7;0e92224b0a53c11efdc32f7668c27058;149.0
154b9cdd1a2da8806553e4d088825d83;34c31a348959b95a9f47c25a7425ec16;129.0
154b9cdd1a2da8806553e4d088825d83;34c31a348959b95a9f47c25a7425ec16;94.9
157a67685bfe4169cfc735efa017464f;492d4497fac9d744b11c00d744a5054f;590.0
157e625a21dbccdc5c8cca1141f33f2e;2ff2597d8ac7701779d16cbaab70c0eb;1181.0
160d14570191b76c64367d2b69e3aa8b;4a7b17ecc00c2023ed7931ae24ee6266;47.49
1634021c404e672af0c0ad216b91aba4;112e01ac1e3bed319a73c3538b7c36c9;999.0
169bb60ebf997270e76be099e90d25ad;34eef1ea5d8b7f69f1042ed0388bdae9;2499.0
16a004e8e3ed8cb99833968018cbf606;08272f81373f0cc953c2c52c7716c06a;119.0
16acb2154e16ac3be304fc52b1ba263e;2422c1fc4655ad23e63ccf8c813f59f2;169.0
16baa912c3d9de3bfc8f714f2da63223;44aec35901be1b42806e23351918c919;849.0
1724729a07203e37fad72ba68a160abe;016864f8582829007d05376837202f5d;1043.0
17627593ba2b8da9cf168a122b55be16;49a365bda3c7181b2de287de1cbfc312;7990.0
17667b22945e0f82f928087ad001652b;41204de8fc0cb2f76c8a936bd31cfdec;9990.0
177097ca376e0b3c06545f1d6071936e;29fc8a5fac6b862efa8e2fa6483f01cb;143.0
18842ab3993d32b93f7af71cd762c1d6;168501e40bf395ffae8e0479a7b75f17;37.04
189e6261e0b740ae89a0b7fbb0aa699b;1a1e6e12f9993e1c939a75bc14a61f70;37.9
18aa027387aa7a420251db1203a6366d;36ad40d4b34a6cb5d1b316478ec4dccf;323.45
19828e33ddac4f2f9f562ed446860853;1a9cf4deed6611df307b35844d6e2dec;1766.0
19f7c4fe00d0f363daba1c6fa77c1475;209ac8e110ac994d2a930264cf8ea7ff;14700.0
1a2765eb4beb1039dac848cfc2029021;19a1e5611d2e979ef7eeeda90d75ff99;999.0
1b8b19f2df064fc22a900a210da7380f;21affa1a02ddb7a081ef3d922ab4beaf;43.9
1b8ef9dca145c445dca3987244e502f5;17cb6832ce061e70b32d6e261ddda482;1190.0
1b96a0ae3c08481ba082a477374c9866;30d9b648b92ed128494f90e991ee5463;666.0
1b96a0ae3c08481ba082a477374c9866;4aa9331cfd7bea6b1f6fe31a302bb455;817.0
1c6415c5145732b341d628c913f0f6cf;397810a54f63035a56c336a5cb5e51b1;1270.0
1c8617511a1b340e1c9caae91b28ac53;1db2e9303dc23cf1819bf47bfddd6080;94.9
1c8617511a1b340e1c9caae91b28ac53;356477d9ecf324d97f0efadfde4d89ae;849.0
1c8ea7c1ac377f7205209a42279dcbf2;0322197d46af451bd680b60fba514340;149.0
1d17759efbf1c9a01d7c04778dee8eb2;2c5266be330b00bd1d11d231fe1cbbc2;1399.0
1d7002997c96dc9decbf26d602cf19f0;0fe83ae659e17e2642849b19b3ea62c7;35.9
1d8fd64c80d9c5b16cfb7ff2dfd7aa78;014a824930f278d2d448fe5a6fbf54c4;1990.0
1db3a56dc0c497646af8ee880fc45dff;1dbb4effd8f316101106c89deda26b5b;995.0
1f070c378c644b143381f1032615cc5a;25e7e5e58be98bc7829a1d6c269fa7f9;610.0
1f2edf4df99f9b1a9666beb639b0f5a6;3939a12e92ed16d6c39529a852d6ccc1;108.99
1f526a5d705284bff64cf65b3fa9adb0;443f49b251785799430c9357ef18a678;9790.0
1f7fb5a2650562542e0d88f4cba0bf0c;3bb35cd0ec375e8c88614a2b6d6ab60e;79.9
1fbdc481dd79bad3ad2e0fb39d9534a4;0dba334b8667b06ea2f21206dd8053a6;34.99
1fdd767263d2ec1b3017e44eb2ceaca2;16bf9450ed8cf11cde5157f16327bfde;149.0
1fdd767263d2ec1b3017e44eb2ceaca2;20ce4dd05e760fa17510eaf334560c3e;249.0
1fdf29bcdf9182be305463a74a3b31c5;375ae462ebc697ce9f5bf1b6bcfa2ee8;999.0
1ffe50bfb083bcefbdb5d185a2d1b5d7;32385fab26fae42ac648c1813f3ff63f;2499.0
20711f09e1e682db42c2aa2dffced1e0;336ed9373ee6faad1cb286bfca238af1;833.0
208a91f334eaf27d7d61ee0affc9366a;22c431255fe94b15be804a047bb8de02;60.0
20cdc15fbf272c42d7d284ba45f3735d;4523fe9d99ff413b788f28bc6cd7a7a7;590.0
20ee9adccf2ae06c6bfa151c99308dc0;2e60b121f481f403d2a455ba3888bdd5;109.0
210480cd051d6e016980175c49bb5133;1bc4f69cd0a33d3aeec66e832fee50b3;995.0
21563b6d7c48f424187adbb3d4da75f5;03134ee0d9e5143b2036a8025157e388;37.9
